turn,Vrf_kV,time_sigma_ns,dE_sigma_MeV,eps_rms_ns_GeV,eps_full_eVs
0,160.0,6.440831000973718,11.760301372887085,0.07575133767954094,0.9518537368902132
1,160.0,6.440848130414137,11.760268395950492,0.07575132762766389,0.9518535992625845
2,160.0,6.4408662356472215,11.760233688222717,0.07575131762143776,0.9518534657394743
3,160.0,6.440885316197562,11.760197250711768,0.07575130766196551,0.9518533363297541
4,160.0,6.440905371566048,11.760159084465519,0.0757512977503448,0.9518532110418937
5,160.0,6.440926401229872,11.760119190571682,0.07575128788766763,0.9518530898839603
6,160.0,6.440948404642553,11.760077570157744,0.07575127807502038,0.9518529728636173
7,160.0,6.440971381233967,11.76003422439093,0.07575126831348383,0.9518528599881256
8,160.0,6.440995330410338,11.759989154478168,0.07575125860413272,0.9518527512643411
9,160.0,6.441020251554285,11.75994236166603,0.07575124894803593,0.9518526466987155
10,160.0,6.441046144024819,11.759893847240692,0.07575123934625627,0.9518525462972951
11,160.0,6.441073007157382,11.759843612527886,0.07575122979985044,0.9518524500657214
12,160.0,6.4411008402638465,11.759791658892855,0.07575122030986874,0.9518523580092281
13,160.0,6.441129642632568,11.759737987740296,0.07575121087735527,0.9518522701326455
14,160.0,6.441159413528363,11.759682600514326,0.07575120150334748,0.9518521864403943
15,160.0,6.441190152192562,11.75962549869841,0.07575119218887622,0.9518521069364885
16,160.0,6.4412218578430345,11.759566683815331,0.0757511829349658,0.9518520316245366
17,160.0,6.4412545296742,11.759506157427124,0.07575117374263372,0.9518519605077391
18,160.0,6.441288166857052,11.759443921135034,0.07575116461289051,0.9518518935888886
19,160.0,6.441322768539181,11.759379976579455,0.07575115554673965,0.951851830870369
20,160.0,6.441358333844815,11.759314325439872,0.0757511465451777,0.9518517723541576
21,160.0,6.44139486187483,11.75924696943483,0.07575113760919391,0.9518517180418244
22,160.0,6.441432351706783,11.759177910321846,0.0757511287397703,0.9518516679345301
23,160.0,6.441470802394932,11.759107149897373,0.07575111993788143,0.9518516220330279
24,160.0,6.441510212970285,11.759034689996739,0.07575111120449457,0.9518515803376649
25,160.0,6.441550582440584,11.758960532494084,0.07575110254056908,0.951851542848377
26,160.0,6.441591909790376,11.758884679302314,0.0757510939470568,0.9518515095646942
27,160.0,6.441634193981041,11.758807132373029,0.07575108542490198,0.9518514804857413
28,160.0,6.44167743395078,11.758727893696468,0.07575107697504069,0.9518514556102322
29,160.0,6.441721628614707,11.758646965301448,0.07575106859840137,0.9518514349364778
30,160.0,6.441766776864822,11.758564349255304,0.07575106029590416,0.9518514184623796
31,160.0,6.441812877570071,11.758480047663822,0.0757510520684611,0.9518514061854328
32,160.0,6.441859929576385,11.758394062671188,0.0757510439169761,0.9518513981027287
33,160.0,6.441907931706687,11.7583063964599,0.0757510358423446,0.9518513942109503
34,160.0,6.441956882760951,11.75821705125074,0.07575102784545375,0.9518513945063778
35,160.0,6.442006781516215,11.758126029302675,0.0757510199271821,0.951851398984885
36,160.0,6.442057626726641,11.75803333291281,0.07575101208839971,0.951851407641944
37,160.0,6.442109417123517,11.757938964416313,0.07575100432996787,0.951851420472621
38,160.0,6.442162151415317,11.757842926186356,0.07575099665273916,0.9518514374715802
39,160.0,6.442215828287731,11.757745220634039,0.07575098905755728,0.951851458633084
40,160.0,6.442270446403702,11.757645850208325,0.07575098154525714,0.9518514839509932
41,160.0,6.442326004403462,11.757544817395972,0.07575097411666452,0.951851513418768
42,160.0,6.4423825009045546,11.757442124721463,0.07575096677259602,0.9518515470294661
43,160.0,6.442439934501895,11.757337774746931,0.07575095951385909,0.9518515847757479
44,160.0,6.442498303767813,11.757231770072094,0.07575095234125213,0.9518516266498761
45,160.0,6.4425576072520725,11.757124113334177,0.07575094525556407,0.9518516726437143
46,160.0,6.442617843481921,11.75701480720784,0.07575093825757441,0.9518517227487308
47,160.0,6.442679010962115,11.756903854405111,0.07575093134805305,0.9518517769559949
48,160.0,6.442741108174984,11.756791257675307,0.07575092452776046,0.9518518352561831
49,160.0,6.4428041335804735,11.756677019804954,0.07575091779744751,0.9518518976395794
50,160.0,6.442868085616163,11.756561143617724,0.07575091115785526,0.9518519640960735
51,160.0,6.442932962697321,11.756443631974347,0.07575090460971494,0.9518520346151631
52,160.0,6.442998763216959,11.756324487772545,0.07575089815374804,0.9518521091859569
53,160.0,6.44306548554585,11.756203713946942,0.07575089179066595,0.9518521877971717
54,160.0,6.443133128032601,11.756081313468991,0.07575088552117021,0.9518522704371385
55,160.0,6.443201689003678,11.755957289346908,0.0757508793459522,0.9518523570938002
56,160.0,6.4432711667634575,11.755831644625571,0.07575087326569314,0.9518524477547138
57,160.0,6.443341559594274,11.755704382386455,0.0757508672810641,0.9518525424070527
58,160.0,6.443412865756466,11.755575505747546,0.0757508613927258,0.9518526410376069
59,160.0,6.4434850834884125,11.755445017863254,0.07575085560132859,0.9518527436327836
60,160.0,6.44355821100661,11.755312921924347,0.07575084990751259,0.9518528501786125
61,160.0,6.443632246505674,11.75517922115785,0.07575084431190718,0.9518529606607411
62,160.0,6.4437071881584265,11.755043918826972,0.0757508388151313,0.9518530750644412
63,160.0,6.443783034115934,11.754907018231027,0.07575083341779341,0.9518531933746094
64,160.0,6.44385978250755,11.754768522705326,0.0757508281204912,0.9518533155757668
65,160.0,6.443937431440974,11.754628435621125,0.07575082292381165,0.9518534416520632
66,160.0,6.444015979002289,11.754486760385511,0.07575081782833092,0.9518535715872757
67,160.0,6.444095423256032,11.75434350044133,0.07575081283461445,0.951853705364813
68,160.0,6.44417576224523,11.754198659267095,0.07575080794321667,0.9518538429677164
69,160.0,6.444256993991457,11.7540522403769,0.07575080315468118,0.9518539843786608
70,160.0,6.444339116494877,11.753904247320335,0.07575079846954035,0.9518541295799557
