turn,Vrf_kV,dE_avg_GeV,dE_sigma_GeV,dE_min_GeV,dE_max_GeV,time_avg_ns,time_sigma_ns,time_min_ns,time_max_ns
0,20.0,4.609524252237112e-05,0.00318696717763859,-0.0063355963075908015,0.00635064924633836,0.08174282903320466,5.0279783320190194,-9.983702155963016,9.970286570848799
1,20.0,4.6072374592380005e-05,0.0031869671538151466,-0.006335370241102841,0.006350663244631251,0.08180570266282132,5.027977456016007,-9.983248128238188,9.970056197202467
2,20.0,4.604948905692305e-05,0.003186966536446716,-0.0063351417600093106,0.006350674822129071,0.08186854514653501,5.027978413856208,-9.982790307530308,9.969822035577778
3,20.0,4.602658592471567e-05,0.0031869653255340003,-0.00633491086440062,0.006350683978827236,0.08193135646033185,5.027981205537051,-9.98232869401133,9.969584086063264
4,20.0,4.600366520448012e-05,0.0031869635210782744,-0.006334677554368131,0.00635069071472212,0.08199413658021162,5.027985831051168,-9.98186328785576,9.969342348748683
5,20.0,4.5980726904945575e-05,0.0031869611230813874,-0.0063344418300041614,0.006350695029811059,0.0820568854821951,5.027992290386389,-9.98139408923933,9.969096823725948
6,20.0,4.5957771034848104e-05,0.003186958131545762,-0.006334203691401985,0.006350696924092343,0.08211960314229728,5.028000583525747,-9.980921098338257,9.96884751108783
7,20.0,4.593479760293065e-05,0.0031869545464743945,-0.00633396313865583,0.006350696397565223,0.08218228953655143,5.028010710447488,-9.980444315331226,9.968594410928773
8,20.0,4.5911806617943006e-05,0.003186950367870853,-0.006333720171860878,0.006350693450229908,0.08224494464100467,5.028022671125058,-9.979963740399086,9.96833752334362
9,20.0,4.588879808864193e-05,0.003186945595739282,-0.006333474791113268,0.006350688082087564,0.08230756843171036,5.028036465527108,-9.979479373721858,9.968076848429803
10,20.0,4.586577202379099e-05,0.0031869402300843974,-0.006333226996510091,0.006350680293140317,0.0823701608847563,5.028052093617495,-9.978991215483319,9.96781238628597
11,20.0,4.5842728432160625e-05,0.00318693427091149,-0.006332976788149395,0.006350670083391248,0.0824327219762095,5.028069555355286,-9.978499265867299,9.967544137012084
12,20.0,4.5819667322528165e-05,0.003186927718226422,-0.0063327693105087604,0.0063506574528444,0.08249525168217364,5.02808885069474,-9.978003525059279,9.967272100709806
13,20.0,4.579658870367781e-05,0.0031869205720356317,-0.0063327798861520035,0.006350642401504773,0.08255774997874461,5.028109979585329,-9.97750399324562,9.966996277481627
14,20.0,4.5773492584400614e-05,0.0031869128323461296,-0.006332788048021311,0.006350624929378325,0.08262021684204535,5.028132941971724,-9.977000670615183,9.966716667431712
15,20.0,4.5750378973494466e-05,0.0031869044991654993,-0.006332793796113452,0.006350605036471973,0.08268265224821089,5.028157737793821,-9.976493557357315,9.96643327066596
16,20.0,4.5727247879764116e-05,0.0031868955725018995,-0.006332797130426152,0.00635058272279359,0.08274505617337939,5.028184366986707,-9.975982653663436,9.966146087291492
17,20.0,4.5704099312021214e-05,0.003186886052364061,-0.0063327980509580925,0.00635055798835201,0.08280742859370512,5.028212829480679,-9.975467959726643,9.96585511741634
18,20.0,4.568093327908421e-05,0.003186875938761289,-0.0063327965577089085,0.006350530833157024,0.08286976948534894,5.028243125201242,-9.974949475740942,9.965560361151006
19,20.0,4.5657749789778435e-05,0.0031868652317034608,-0.006332792650679191,0.006350501257219383,0.08293207882449866,5.028275254069115,-9.974427201902415,9.965261818607331
20,20.0,4.563454885293602e-05,0.0031868539312010294,-0.006332786329870487,0.006350469260550792,0.08299435658733818,5.028309216000216,-9.973901138407541,9.964959489896671
21,20.0,4.5611330477395945e-05,0.00318684203726502,-0.006332777595285296,0.006350434843163919,0.08305660275007601,5.028345010905678,-9.973371285454135,9.964653375134674
22,20.0,4.5588094672004046e-05,0.0031868295499070313,-0.006332766446927076,0.006350398005072388,0.08311881728891868,5.028382638691838,-9.972837643243366,9.964343474436504
23,20.0,4.556484144561299e-05,0.0031868164691392364,-0.006332752884800237,0.00635035874629078,0.08318100018009636,5.028422099260259,-9.972300211975124,9.964029787919515
24,20.0,4.554157080708227e-05,0.0031868027949743813,-0.006332736908910147,0.006350317066834638,0.08324315139984993,5.028463392507694,-9.971758991853136,9.963712315701827
25,20.0,4.551828276527816e-05,0.003186788527425786,-0.006332718519263127,0.0063502729667204594,0.08330527092442341,5.028506518326119,-9.971213983081498,9.963391057904175
26,20.0,4.549497732907381e-05,0.0031867736665073428,-0.006332697715866453,0.0063502264459657015,0.08336735873008493,5.028551476602717,-9.970665185864817,9.96306601464724
27,20.0,4.5471654507349196e-05,0.0031867582122335194,-0.006332674498728358,0.00635017750458878,0.08342941479310598,5.028598267219891,-9.970112600411852,9.962737186054284
28,20.0,4.544831430899105e-05,0.0031867421646193566,-0.006332648867858029,0.006350126142609068,0.0834914390897767,5.0286468900552554,-9.969556226930138,9.962404572249795
29,20.0,4.542495674289295e-05,0.003186725523680467,-0.006332620823265608,0.006350072360046898,0.08355343159639309,5.02869734498163,-9.968996065628886,9.962068173358745
30,20.0,4.5401581817955286e-05,0.0031867082894330395,-0.006332590364962193,0.006350016156923558,0.0836153922892689,5.0287496318670675,-9.96843211672072,9.961727989508574
31,20.0,4.537818954308526e-05,0.0031866904618938346,-0.006332557492959836,0.006349957533261299,0.08367732114471627,5.028803750574818,-9.967864380417382,9.961384020828064
32,20.0,4.5354779927196834e-05,0.003186672041080187,-0.006332522207271545,0.006349896489083324,0.083739218139084,5.028859700963362,-9.967292856932744,9.96103626744636
33,20.0,4.533135297921081e-05,0.003186653027010006,-0.006332484507911282,0.006349833024413799,0.0838010832487075,5.02891748288639,-9.966717546483665,9.960684729495625
34,20.0,4.530790870805477e-05,0.0031866334197017732,-0.006332444394893965,0.006349767139277846,0.08386291644995938,5.028977096192814,-9.966138449286547,9.960329407108844
35,20.0,4.52844471226631e-05,0.0031866132191745436,-0.0063324018682354676,0.006349698833701546,0.08392471771920612,5.029038540726769,-9.965555565559072,9.9599703004194
36,20.0,4.526096823197694e-05,0.003186592425447947,-0.006332356927952617,0.006349628107711937,0.08398648703282889,5.029101816327609,-9.964968895522333,9.959607409563688
37,20.0,4.5237472044944224e-05,0.0031865710385421864,-0.006332309574063196,0.006349554961337016,0.08404822436722079,5.029166922829905,-9.964378439396967,9.9592407346789
38,20.0,4.5213958570519675e-05,0.003186549058478038,-0.006332259806585943,0.006349479394605739,0.08410992969880288,5.029233860063455,-9.96378419740617,9.958870275903138
39,20.0,4.519042781766484e-05,0.0031865264852768515,-0.006332207625540551,0.006349401407548016,0.08417160300398616,5.029302627853278,-9.963186169773564,9.9584960333774
40,20.0,4.516687979534794e-05,0.0031865033189605514,-0.00633242490698963,0.00634932100019472,0.08423324425920069,5.029373226019627,-9.96258435672533,9.95811800724232
41,20.0,4.514331451254403e-05,0.003186479559551635,-0.006332653156465863,0.006349238172577679,0.08429485344089072,5.0294456543779615,-9.961978758488016,9.957736197641026
42,20.0,4.511973197823492e-05,0.003186455207073173,-0.006332878992371732,0.00634915292472968,0.08435643052552586,5.029519912739,-9.961369375290332,9.957350604717107
43,20.0,4.509613220140921e-05,0.003186430261548811,-0.006333102414617877,0.006349065256684469,0.08441797548956075,5.029596000908654,-9.960756207361811,9.956961228616649
44,20.0,4.50725151910622e-05,0.003186404723002766,-0.006333323423115893,0.006348975168476748,0.08447948830948711,5.029673918688088,-9.960281250590384,9.956568069486224
45,20.0,4.5048880956196006e-05,0.0031863785914598318,-0.006333542017778332,0.006348882660142177,0.0845409689617912,5.029753665873691,-9.960635540993309,9.956171127475727
46,20.0,4.502522950581945e-05,0.003186351866945373,-0.006333758198518699,0.006348787731717377,0.0846024174229821,5.029835242257088,-9.960986046978377,9.955770402733833
47,20.0,4.5001560848948147e-05,0.00318632454948533,-0.006333971965251454,0.006348690383239922,0.08466383366957692,5.02991864762513,-9.961332768412632,9.95536589541257
48,20.0,4.4977874994604414e-05,0.0031862966391062154,-0.0063341833178920115,0.006348590614748348,0.08472521767810916,5.030003881759914,-9.961675705166044,9.954957605664418
49,20.0,4.495417195181735e-05,0.003186268135835116,-0.006334392256356742,0.006348488426282147,0.0847865694251196,5.030090944438754,-9.962014857108585,9.954545533643937
50,20.0,4.4930451729622755e-05,0.0031862390396996936,-0.00633459878056297,0.006348383817881769,0.08484788888716543,5.030179835434222,-9.962350224112328,9.95412967950702
51,20.0,4.4906714337063175e-05,0.003186209350728181,-0.006334802890428975,0.006348276789588624,0.08490917604081583,5.030270554514123,-9.96268180604983,9.953710043410325
52,20.0,4.4882959783187945e-05,0.003186179068949388,-0.0063350045858739925,0.006348167341445075,0.08497043086264569,5.030363101441502,-9.963009602796575,9.953286625512703
53,20.0,4.485918807705302e-05,0.003186148194392695,-0.006335203866818213,0.0063480554734944485,0.08503165332924095,5.030457475974641,-9.963333614228446,9.952859425973799
54,20.0,4.483539922772119e-05,0.0031861167270880587,-0.006335400733182781,0.006347941185781024,0.08509284341721998,5.030553677867067,-9.963653840223088,9.952428444955416
55,20.0,4.481159324426188e-05,0.003186084667066008,-0.0063355951848897965,0.006347824478350042,0.08515400110319139,5.030651706867566,-9.963970280658913,9.951993682620156
56,20.0,4.4787770135751304e-05,0.003186052014357647,-0.006335787221862316,0.006347705351247698,0.08521512636379264,5.030751562720155,-9.96428293541652,9.951555139131955
57,20.0,4.4763929911272346e-05,0.0031860187689946515,-0.006335976844024349,0.006347583804521147,0.085276219175651,5.030853245164103,-9.96459180437816,9.951112814657648
58,20.0,4.474007257991458e-05,0.0031859849310092734,-0.006336164051300862,0.006347459838218502,0.08533727951543618,5.030956753933934,-9.964896887426931,9.950666709363702
59,20.0,4.471619815077436e-05,0.0031859505004343362,-0.0063363488436177775,0.006347333452388833,0.08539830735980265,5.031062088759421,-9.965198184447644,9.95021682341823
60,20.0,4.46923066329547e-05,0.00318591547730324,-0.0063365312209019715,0.006347204647082167,0.08545930268542912,5.031169249365588,-9.965495695326382,9.949763156991082
61,20.0,4.4668398035565276e-05,0.0031858798616499553,-0.006336711183081276,0.006347073422349489,0.08552026546901702,5.031278235472715,-9.965789419950909,9.949305710254606
62,20.0,4.464447236772254e-05,0.00318584365350903,-0.006336888730084479,0.006346939778242741,0.08558119568725808,5.031389046796338,-9.96607935820981,9.948844483380356
63,20.0,4.462052963854959e-05,0.0031858068529155834,-0.006337063861841323,0.006346803714814825,0.08564209331688663,5.031501683047262,-9.966365509993011,9.948379476544062
64,20.0,4.459656985717623e-05,0.003185769459905309,-0.0063372365782825065,0.006346665232119598,0.08570295833460745,5.031616143931544,-9.96664787519336,9.947910689920235
65,20.0,4.457259303273892e-05,0.003185731474514475,-0.006337406879339685,0.006346524330211875,0.08576379071717179,5.031732429150506,-9.966926453703252,9.947438123686311
66,20.0,4.454859917438086e-05,0.0031856928967799233,-0.006337574764945467,0.006346381009147429,0.08582459044133774,5.031850538400732,-9.967201245418522,9.947505384257852
67,20.0,4.452458829125186e-05,0.0031856537267390696,-0.006337740235033418,0.00634623526898299,0.08588535748386183,5.031970471374072,-9.967472250234579,9.948569485284366
68,20.0,4.450056039250849e-05,0.0031856139644299026,-0.006337903289538059,0.006346087109776246,0.08594609182153297,5.032092227757644,-9.967739468048904,9.94962980639545
69,20.0,4.447651548731392e-05,0.0031855736098909864,-0.006338063928394868,0.00634593653158584,0.08600679343113327,5.032215807233835,-9.968002898760716,9.950686347190441
70,20.0,4.445245358483799e-05,0.0031855326631614585,-0.006338222151540276,0.006345783534471377,0.08606746228947094,5.032341209480323,-9.968262542270054,9.95173910727081
71,20.0,4.442837469425727e-05,0.00318549112428103,-0.006338377958911672,0.006345628118493415,0.08612809837336192,5.032468434170029,-9.968518398479091,9.95278808623928
72,20.0,4.4404278824754914e-05,0.0031854489932899867,-0.006338531350447401,0.00634547028371347,0.08618870165962805,5.032597480971175,-9.968770467291279,9.953833283700732
73,20.0,4.4380165985520784e-05,0.003185406270229187,-0.006338682326086761,0.006345310030194017,0.0862492721251143,5.032728349547254,-9.96901874861129,9.954874699260472
74,20.0,4.43560361857514e-05,0.0031853629551400657,-0.006338830885770009,0.006345147357998488,0.08630980974666527,5.032861039557034,-9.96926324234471,9.955912332525003
75,20.0,4.433188943464987e-05,0.003185319048064629,-0.006338977029438356,0.006344982267191271,0.08637031450115826,5.032995550654567,-9.969503948399648,9.956946183103469
76,20.0,4.4307725741426056e-05,0.0031852745490454585,-0.00633912075703397,0.00634481475783771,0.08643078636546853,5.033131882489201,-9.969740866685441,9.957976250605356
77,20.0,4.428354511529636e-05,0.0031852294581257105,-0.006339262068499976,0.006344644830004109,0.08649122531648021,5.033270034705562,-9.969973997111879,9.959002534641883
78,20.0,4.425934756548389e-05,0.0031851837753491133,-0.006339400963780451,0.006344472483757727,0.08655163133110577,5.033410006943558,-9.970203339590881,9.96002503482552
