turn,Vrf_kV,time_mean_ns,time_sigma_ns,time_min_ns,time_max_ns,dE_mean_MeV,dE_sigma_MeV,dE_min_MeV,dE_max_MeV,t2,dE2,t_dE,eps_rms,Q1,Q2,Q_amp,theta_Q
0,20.0,0.1054747827171683,10.517807099917054,-21.01331137796953,21.06761202251755,-0.029372042523517144,4.801135335988067,-9.543653676330411,9.525269247289872,110.63539112085486,2.305176323135525e-05,-1.4299087575542768e-05,0.050500897384724006,-0.003482222786930255,-0.0001418586583590396,0.0034851111053692016,-1.5504386027566093
1,20.000000030000002,0.10543498796110928,10.51780768191573,-21.0128184133967,21.067941798276735,-0.029401492128363772,4.801134947355123,-9.543653220406952,9.525381279898227,110.63539497045194,2.3051761230454055e-05,-1.3642481638138004e-05,0.0505008962532204,-0.003482192235299575,-0.00013534458976139385,0.0034848215049781716,-1.5513722847537108
2,20.000000120000003,0.10539515309497992,10.517808349192567,-21.012317554209574,21.06826365932787,-0.029430930745187787,4.801134520713764,-9.54364912694517,9.525489681525839,110.6354006086408,2.305175886567392e-05,-1.2985882965003071e-05,0.05050089512280416,-0.0034821536800392835,-0.00012883059323125305,0.0034845360628300926,-1.552306065896537
3,20.00000027,0.10535527813374686,10.517809101745955,-21.011808800590245,21.068577605552804,-0.02946035836270714,4.801134056065453,-9.543641395946699,9.525594452128091,110.6354080354007,2.3051756137026368e-05,-1.2329292634582045e-05,0.050500893993483,-0.0034821071213219676,-0.00012231667946766906,0.0034842547803565047,-1.5532399445895733
4,20.000000479999997,0.10531536309238432,10.517809939574152,-21.011292152723797,21.068883636838876,-0.029489774969643657,4.80113355341171,-9.543630027414657,9.52569559166184,110.63541725070807,2.3051753044523514e-05,-1.1672711725314466e-05,0.05050089286526467,-0.0034820525593331994,-0.00011580285916963993,0.003483977658962633,-1.554173919235624
5,20.00000075,0.10527540798588642,10.517810862675274,-21.010767610797842,21.0691817530747,-0.029519180554722947,4.801133012754118,-9.543615021353633,9.52579310008541,110.63542825453656,2.305174958817806e-05,-1.1016141315592721e-05,0.05050089173815693,-0.003481989994271327,-0.0001092891430357061,0.00348370470002713,-1.5551079882358971
6,20.00000108,0.1052354128292608,10.517811871047307,-21.010235175002975,21.06947195415185,-0.029548575106674493,4.8011324340943204,-9.543596377769683,9.525886977358601,110.635441046857,2.3051745768003294e-05,-1.0359582483737606e-05,0.050500890612167566,-0.0034819194263473454,-0.00010277554176368966,0.0034834359049019186,-1.5560421499900634
7,20.000001470000004,0.10519537763752937,10.517812964688076,-21.00969484553272,21.069754239965732,-0.02957795861423158,4.8011318174340225,-9.543574096670344,9.52597722344268,110.63545562763689,2.3051741584013104e-05,-9.703036308058743e-06,0.05050088948730428,-0.0034818408557861433,-9.626206605130259e-05,0.00348317127491343,-1.5569764028962016
8,20.000001920000003,0.10515530242572946,10.517814143595277,-21.00914662258404,21.070028610413402,-0.029607331066131438,4.801131162774985,-9.543548178064627,9.526063838300388,110.63547199684112,2.305173703622194e-05,-9.046503866782607e-06,0.05050088836357481,-0.0034817542828250317,-8.9748726595439e-05,0.003482910811361088,-1.5579107453509173
9,20.000002430000006,0.10511518720892307,10.517815407766458,-21.008590506355546,21.070295065395356,-0.029636692451115013,4.801130470119036,-9.543518621963015,9.526146821895937,110.63549015443145,2.3051732124644875e-05,-8.389986238150682e-06,0.05050088724098687,-0.0034816597077146454,-8.32355340931393e-05,0.003482654515518213,-1.558845175749234
10,20.000003000000003,0.10507503200217334,10.517816757199022,-21.008026497049258,21.070553604813767,-0.02966604275792725,4.801129739468058,-9.543485428377462,9.526226174195008,110.63551010036679,2.3051726849297543e-05,-7.733484500265852e-06,0.05050088611954816,-0.0034815571307187207,-7.672249924006032e-05,0.0034824023886317348,-1.5597796924848366
11,20.000003630000002,0.10503483682057185,10.517818191890234,-21.007454594870183,21.070804228575867,-0.029695381975316872,4.801128970824,-9.543448597321404,9.526301895164755,110.63553183460306,2.3051721210196178e-05,-7.076999731277656e-06,0.05050088499926639,-0.003481446552113866,-7.020963273233294e-05,0.003482154431921987,-1.5607142939498293
12,20.00000432,0.10499460167921076,10.517819711837216,-21.00687480002665,21.071046936590193,-0.029724710092036487,4.8011281641888655,-9.543408128809743,9.526373984773803,110.63555535709327,2.3051715207357605e-05,-6.4205330091916865e-06,0.050500883880149235,-0.0034813279721899073,-6.369694526465653e-05,0.003481910646582985,-1.561648978535035
13,20.00000507,0.10495432659320979,10.51782131703695,-21.006287112728756,21.071281728769065,-0.029754027096842595,4.801127319564723,-9.543364022858857,9.52644244299225,110.63558066778751,2.3051708840799225e-05,-5.764085411980935e-06,0.05050088276220439,-0.003481201391249535,-5.7184447531399485e-05,0.003481671033782079,-1.5625837446298618
14,20.00000588,0.1049140115776984,10.517823007486275,-21.005691533189946,21.071508605026537,-0.029783332978495596,4.8011264369537,-9.543316279486598,9.526507269791662,110.63560776663294,2.3051702110539037e-05,-5.1076580176286576e-06,0.05050088164543953,-0.003481066809608423,-5.067215022704419e-05,0.003481435594660053,-1.5635185906222653
15,20.00000675,0.10487365664782296,10.51782478318189,-21.00508806162705,21.07172756527956,-0.02981262772575971,4.801125516357983,-9.543264898712296,9.526568465145077,110.63563665357388,2.305169501659563e-05,-4.451251903955899e-06,0.05050088052986235,-0.0034809242275952905,-4.4160064044457757e-05,0.00348120433033114,-1.5644535148990222
16,20.000007680000003,0.10483326181874518,10.517826644120344,-21.004476698258173,21.07193860945023,-0.029841911327403103,4.801124557779823,-9.54320988055675,9.52662602902701,110.63566732855139,2.305168755898817e-05,-3.794868148781283e-06,0.050500879415480454,-0.0034807736455523598,-3.764819967648352e-05,0.0034809772418834834,-1.5653885158455274
17,20.000008670000003,0.10479282710564708,10.51782859029805,-21.003857443307368,21.07214173746104,-0.02987118377219777,4.801123561221526,-9.543151225042234,9.526679961413437,110.63569979150388,2.3051679737736418e-05,-3.1385078298481917e-06,0.050500878302301516,-0.0034806150638343083,-3.11365678152173e-05,0.00348075433037806,-1.5663235918459224
18,20.00000972,0.10475235252371255,10.517830621711287,-21.003230296996975,21.072336949237467,-0.029900445048919724,4.801122526685464,-9.543088932192493,9.526730262281815,110.63573404236688,2.3051671552860728e-05,-2.482172024875906e-06,0.0505008771903332,-0.003480448482808913,-2.462517915251441e-05,0.0034805355968493064,-1.567258741283049
19,20.000010830000004,0.10471183808815958,10.517832738356173,-21.002595259556557,21.072524244709598,-0.029929695146348734,4.801121454174064,-9.543023002032752,9.526776931611067,110.63577008107268,2.3051663004382027e-05,-1.8258618114243896e-06,0.05050087607958309,-0.0034802739028573356,-1.8114044378657202e-05,0.003480321042305377,-1.5681939625386658
20,20.000012,0.1046712838142045,10.517834940228695,-21.001952331216927,21.072703623809275,-0.02995893405326856,4.801120343689818,-9.542953434589705,9.52681996938159,110.63580790755087,2.3051654092321844e-05,-1.169578267111382e-06,0.05050087497005884,-0.0034800913243735266,-1.1603174184489973e-05,0.0034801106677275423,-1.5691292539931676
21,20.000013230000004,0.10463068971708912,10.517837227324707,-21.001301512210574,21.072875086469566,-0.02998816175846686,4.801119195235277,-9.542880229891525,9.52685937557525,110.63584752172817,2.3051644816702288e-05,-5.133224693678717e-07,0.050500873861768075,-0.003479900747764277,-5.0925792590171605e-06,0.0034799044740702126,-1.570064614025956
22,20.00001452,0.1045900558120557,10.517839599639903,-21.000642802773825,21.073038632629903,-0.03001737825073525,4.801118008813052,-9.542803387967849,9.526895150175386,110.63588892352804,2.3051635177546058e-05,1.429045043537913e-07,0.050500872754718366,-0.0034797021734499565,1.417729708556159e-06,0.003479702462261663,1.5705926125746212
