turn,Vrf_kV,time_mean_ns,time_sigma_ns,time_min_ns,time_max_ns,dE_mean_MeV,dE_sigma_MeV,dE_min_MeV,dE_max_MeV,t2,dE2,t_dE,eps_rms,Q1,Q2,Q_amp,theta_Q
0,20.0,0.1054747827171683,10.517807099917054,-21.01331137796953,21.06761202251755,-0.029372042523517144,4.801135335988067,-9.543653676330411,9.525269247289872,110.63539112085486,2.305176323135525e-05,-1.4299087575542768e-05,0.050500897384724006,-0.003482222786930255,-0.0001418586583590396,0.0034851111053692016,-1.5504386027566093
1,20.0,0.10543498796110928,10.51780768191573,-21.0128184133967,21.067941798276735,-0.029401492128319592,4.801134947355122,-9.543653220406954,9.52538127989806,110.63539497045194,2.3051761230454045e-05,-1.364248159202861e-05,0.0505008962532204,-0.0034821922352994677,-0.0001353445893039506,0.0034848215049602983,-1.5513722848192943
2,20.0,0.1053951530949782,10.517808349192572,-21.012317554209574,21.06826365932787,-0.029430930744966978,4.801134520713758,-9.543649126945196,9.52548968152502,110.63540060864091,2.3051758865673842e-05,-1.298588273445308e-05,0.05050089512280416,-0.003482153680038262,-0.00012883059094400976,0.0034845360627445074,-1.5523060662245065
3,20.0,0.10535527813374176,10.517809101745987,-21.01180880059067,21.068577605552804,-0.029460358362089076,4.801134056065428,-9.543641395946832,9.525594452125858,110.6354080354014,2.3051756137026087e-05,-1.2329291989057134e-05,0.050500893993483016,-0.00348210712131733,-0.00012231667306353123,0.0034842547801270493,-1.5532399455079946
4,20.0,0.10531536309238144,10.517809939574269,-21.011292152724224,21.068883636839303,-0.02948977496831958,4.801133553411638,-9.543630027415063,9.525695591657179,110.63541725071055,2.3051753044522745e-05,-1.1672710342022863e-05,0.05050089286526471,-0.0034820525593192322,-0.00011580284544625324,0.0034839776584925258,-1.5541739212039691
5,20.0,0.10527540798589038,10.517810862675576,-21.01076761079827,21.069181753075554,-0.029519180552296163,4.8011330127539535,-9.543615021354599,9.525793100077093,110.63542825454292,2.3051749588176333e-05,-1.101613877954003e-05,0.05050089173815704,-0.00348198999423812,-0.00010928911787598583,0.00348370469920464,-1.5551079918450283
6,20.0,0.10523541282926871,10.517811871047938,-21.010235175004254,21.06947195415313,-0.029548575102660395,4.801132434093993,-9.543596377771655,9.525886977345214,110.63544104687027,2.3051745767999902e-05,-1.0359578287739447e-05,0.05050089061216775,-0.0034819194262803513,-0.00010277550013594991,0.003483435903606766,-1.5560421559622761
7,20.0,0.1051953776375409,10.517812964689256,-21.009694845534852,21.069754239967835,-0.02957795860805782,4.801131817433431,-9.543574096673954,9.525977223422661,110.63545562766167,2.3051741584007056e-05,-9.703029852701882e-06,0.05050088948730456,-0.003481840855664234,-9.62620020088763e-05,0.00348317127302167,-1.556976412085327
8,20.0,0.10515530242575037,10.517814143597295,-21.009146622587878,21.070028610416784,-0.02960733105713791,4.8011311627739985,-9.543548178070726,9.526063838272053,110.63547199688354,2.305173703621193e-05,-9.046494460495292e-06,0.05050088836357521,-0.0034817542826199883,-8.974863327736644e-05,0.003482910808751465,-1.557910758742274
9,20.0,0.10511518720895963,10.517815407769692,-21.00859050636194,21.070295065400444,-0.029636692438554102,4.801130470117481,-9.543518621972703,9.52614682185752,110.63549015449951,2.305173212462919e-05,-8.389973097021209e-06,0.050500887240987405,-0.003481659707389994,-8.323540372237161e-05,0.0034826545120777925,-1.5588451944599284
