turn,Vrf_kV,K0_GeV,phi_s_deg,time_mean_ns,time_sigma_ns,time_min_ns,time_max_ns,dE_mean_MeV,dE_sigma_MeV,dE_min_MeV,dE_max_MeV,t2,dE2,t_dE,eps_rms,Q1,Q2,Q_amp,theta_Q,gamma,Zon_ohm,unstable
0,30.0,24.0,0.0,0.13868056729197467,13.830153511368685,-27.63084050203142,27.702476380100137,-0.04762416675945901,7.782937800302571,-15.470854739455469,15.441091957871565,191.292378447768,6.057638886463817e-05,-2.9756247553021553e-05,0.10764664703677145,-0.0034821561862502137,-0.0001384918647569953,0.0034849091382767074,-1.5509208668273167,26.57893624393974,151.89826268642454,False
1,30.0000029,24.0,0.0,0.13861710112145212,13.830155217475001,-27.630049226904106,27.703001410527776,-0.04768216033010058,7.78293643649666,-15.470850731019882,15.441309824239164,191.29240804017428,6.057637316296107e-05,-2.7633294483735548e-05,0.10764664197774146,-0.0034820523172575334,-0.00012861119251049988,0.003484426664310433,-1.5523369896528372,26.57893624393974,151.89822819046407,False
2,30.0000116,24.0,0.0,0.13855355699485566,13.830157130411617,-27.629242745666403,27.703511196767522,-0.047740127902934505,7.782934959836498,-15.470837993345802,15.441518976498315,191.2924433400312,6.057635570885735e-05,-2.5510415416704645e-05,0.10764663692564146,-0.003481933728436597,-0.00011873086468613812,0.003483957449145081,-1.5537533719419903,26.57893624393974,151.89819156102695,False
3,30.0000261,24.0,0.0,0.1384899349471213,13.830159250169693,-27.62842105873125,27.704005738549995,-0.04779806945568849,7.782933370330662,-15.470816526432277,15.44171941454702,191.29248434713597,6.057633650245028e-05,-2.338763035539071e-05,0.10764663188052173,-0.003481800420564491,-0.00010885097438425113,0.003483501500396902,-1.5551699956393032,26.57893624393974,151.89815279834892,False
4,30.0000464,24.0,0.0,0.1384262350132018,13.830161576738453,-27.627584166520876,27.704485035613487,-0.04785598496608803,7.782931667988711,-15.47078633027896,15.44191113828388,191.2925310612326,6.0576315543878614e-05,-2.1264959302744458e-05,0.10764662684243262,-0.0034816523945519194,-9.897161470279592e-05,0.0034830588247983974,-1.556586842669108,26.57893624393974,151.89811190268256,False
5,30.0000725,24.0,0.0,0.1383624572280861,13.83016411010515,-27.6267320694584,27.704949087698367,-0.047913874411856586,7.782929852821201,-15.47074740488611,15.442094147608096,191.29258348201077,6.0576292833296596e-05,-1.9142422261394976e-05,0.1076466218114242,-0.00348148965144481,-8.909287873823874e-05,0.003482629428199212,-1.5580038949367763,26.57893624393974,151.8980688742978,False
6,30.0001044,24.0,0.0,0.13829860162679986,13.830166850255083,-27.625864767973667,27.705397894551396,-0.04797173777071562,7.782927924839677,-15.470699750254575,15.442268442419465,191.29264160910654,6.0576268370873976e-05,-1.7020039233468487e-05,0.10764661678754664,-0.0034813121924232634,-7.92148595847027e-05,0.003482213315564383,-1.5594211343301956,26.57893624393974,151.89802371348102,False
7,30.0001421,24.0,0.0,0.13823466824439837,13.830169797171612,-27.624982262502925,27.70583145592522,-0.048029575020384276,7.782925884056671,-15.470643366385813,15.442434022618384,191.2927054421025,6.057624215679597e-05,-1.4897830220434872e-05,0.10764661177084997,-0.0034811200188013913,-6.933765033325452e-05,0.003481810490973559,-1.560838542721234,26.57893624393974,151.89797642053625,False
8,30.000185600000002,24.0,0.0,0.13817065711595766,13.830172950836122,-27.62408455348492,27.70624977157547,-0.04808738613857981,7.782923730485712,-15.47057825328188,15.442590888105851,191.29277498052699,6.057621419126329e-05,-1.2775815223427012e-05,0.10764660676138416,-0.0034809131320283795,-5.9461344073392294e-05,0.0034814209576215626,-1.5622561019668961,26.57893624393974,151.8979269957839,False
9,30.000234900000002,24.0,0.0,0.13810656827658876,13.83017631122806,-27.62317164136391,27.706652841264145,-0.04814517110301719,7.782921464141315,-15.470504410945436,15.44273903878346,191.29285022385494,6.057618447449212e-05,-1.0654014242799814e-05,0.10764660175919911,-0.003480691533687417,-4.958603389099494e-05,0.003481044717816808,-1.563673793910982,26.57893624393974,151.89787543956174,False
