turn,Vrf_kV,K0_GeV,phi_s_deg,time_mean_ns,time_sigma_ns,time_min_ns,time_max_ns,dE_mean_MeV,dE_sigma_MeV,dE_min_MeV,dE_max_MeV,t2,dE2,t_dE,eps_rms,Q1,Q2,Q_amp,theta_Q,gamma,Zon_ohm,unstable
0,1.0,24.0,0.0,0.32468182446837024,32.367358446013654,-64.66724816630011,64.83238275695317,-0.020328853886475873,3.325548641210748,-6.610494115797103,6.597699374065263,1047.7513110598713,1.1059687027358991e-05,-3.069583364808281e-05,0.10764664714050796,-0.0034822518665192648,-0.00014286489701426815,0.0034851812636756503,-1.550294532620503,26.57893624393974,64.90416288716531,False
1,64.8,24.0,0.0,0.32465459868552243,32.36735775389685,-64.6669155059626,64.83261254983773,-0.020617661455436795,3.3256539125149387,-6.610545993654684,6.598872685620257,1047.751248577194,1.1060399033789808e-05,-0.0009025002868845869,0.10764633013088479,-0.0034985063356767114,-0.004200427068354517,0.00546654682019055,-1.1326373412778952,26.57893624393974,64.90827068826263,False
2,128.60000000000002,24.0,0.0,0.3246269846891604,32.367320859611056,-64.66651434916741,64.83277372179901,-0.021190776464553286,3.3265241774665117,-6.610632958914811,6.601185241603358,1047.7488423082013,1.1066212152276422e-05,-0.0026472882316637444,0.10764572836997789,-0.0036316648282363035,-0.012321038904488199,0.012845115379417982,-0.9287162792346504,26.57893624393974,64.94217180631645,False
3,192.4,24.0,0.0,0.3245986003548324,32.36721151185879,-64.66597725696053,64.83279871078037,-0.022048154078712707,3.329474229018309,-6.610739145727986,6.61012006810346,1047.741745304757,1.1085884762795342e-05,-0.005265038419717246,0.10764489593128652,-0.004082048066520667,-0.024504601511484016,0.02484227468759674,-0.8679317597969365,26.57893624393974,65.0571880414657,False
4,256.20000000000005,24.0,0.0,0.3245690636980305,32.366993459612495,-64.66523679100925,64.83261995506689,-0.023189746238153685,3.336466229710988,-6.610848687837519,6.636855697529248,1047.727610691708,1.1132544666332447e-05,-0.008755699567098343,0.10764391366568722,-0.005149635682484735,-0.040750876203015526,0.04107496389500321,-0.8482493735392661,26.57893624393974,65.33027911640116,False
5,320.0,24.0,0.0,0.32453799291827334,32.366630452469145,-64.6642255139698,64.83216989392747,-0.02461550037857998,3.3500869560939397,-6.64111375642939,6.6702094134237155,1047.7040917555507,1.1223688536249647e-05,-0.01311917718492864,0.1076428891938946,-0.007234053683288352,-0.06105942320787353,0.061486459445725956,-0.8443611265312359,26.57893624393974,65.86403538550684,False
6,320.0,24.0,0.0,0.32450500644490066,32.3660862411458,-64.66287599005014,64.83138096845516,-0.02604112436893328,3.369075516648263,-6.69332737067773,6.703523196853362,1047.6688420684955,1.1351347977037158e-05,-0.017482395730464263,0.10764208949357366,-0.010154113883610483,-0.08136676443552014,0.0819979047504676,-0.8474744235296572,26.57893624393974,66.61167661363237,False
7,320.0,24.0,0.0,0.3244701047850128,32.365360828272415,-64.66118822311785,64.83025318273178,-0.027466610153552784,3.3933414365199392,-6.752929316693699,6.752439087383174,1047.6218623931695,1.1515520519476533e-05,-0.021845260389608417,0.10764151453575414,-0.013909759783781726,-0.10167245860111095,0.10261954129325043,-0.8533808769070828,26.57893624393974,67.57316494096558,False
8,320.0,24.0,0.0,0.32443328845653724,32.36445421737311,-64.65916221829661,64.82878654209406,-0.028891949678147788,3.4227720106681097,-6.812491328336789,6.831832580734408,1047.5631537470988,1.171620298176922e-05,-0.02620767635465694,0.10764116427098364,-0.01850091857089314,-0.12197606444955432,0.12337116472891324,-0.8606628035324442,26.57893624393974,68.74845113295011,False
9,320.0,24.0,0.0,0.32439455798819544,32.363366412866206,-64.6567979819705,64.82698105313659,-0.03031713488982294,3.457234782437331,-6.875937113949917,6.9111862354169356,1047.4927174026886,1.195339146956243e-05,-0.03056954882603802,0.10764103862933758,-0.023927501119391296,-0.14227714076360817,0.1442751194547627,-0.8687062527861299,26.57893624393974,70.1374745823169,False
