turn,Vrf_kV,K0_GeV,phi_s_deg,time_mean_ns,time_sigma_ns,time_min_ns,time_max_ns,dE_mean_MeV,dE_sigma_MeV,dE_min_MeV,dE_max_MeV,t2,dE2,t_dE,eps_rms,Q1,Q2,Q_amp,theta_Q,gamma,distribution_J,form_factor_F,half_bunch_length_ns,peak_current_A,rms_dpp,Zon_ohm,unstable
0,30.0,24.0,0.0,0.01940874756541314,11.363658300491842,-27.28513702015232,27.50577190288962,0.027820436202342206,6.304025123018257,-15.182719932113388,15.471741774238193,129.1331066698192,3.974150672831585e-05,5.2787678456969494e-05,0.07163757003854856,0.00244217907003057,0.0002456850116155187,0.002454506006313266,0.050131702526925864,26.57893624393974,1.5,1.0,27.83516444754769,7.328696232075603,0.0002531434986331211,16.99981153971861,False
1,30.000079504884237,24.0,0.0,0.019446505771555295,11.363667638521841,-27.28650340415902,27.506749401828927,0.027812281084361862,6.304019806347195,-15.1815770987739,15.472007416521588,129.13332036537528,3.9741439241796836e-05,5.2509479081714067e-05,0.07163756869231852,0.002442738002239487,0.00024439021292880006,0.002454932895979103,0.04985791853418751,26.57893624393974,1.5,1.0,27.835187320956393,7.3286902097606745,0.00025314328513766586,16.999796834711244,False
2,30.00031801638914,24.0,0.0,0.019484253014834384,11.363676943525132,-27.287854762071873,27.507711759058196,0.02780411040706615,6.304014508504075,-15.181192532249119,15.472264329440408,129.13353331292024,3.97413719919854e-05,5.22306703901758e-05,0.07163756735111315,0.0024432949759840804,0.00024309257835532775,0.0024553582918426567,0.04958369465674483,26.57893624393974,1.5,1.0,27.835210113466502,7.328684208755291,0.0002531430723982626,16.999782181818894,False
3,30.000715525071318,24.0,0.0,0.019521989274338212,11.363686215429889,-27.28919109306034,27.508658973955278,0.02779592413117374,6.304009229511829,-15.180799395328956,15.472512514004372,129.1337455108165,3.974130497916862e-05,5.195096842056856e-05,0.0716375660149379,0.0024438499879391924,0.0002417907862769387,0.0024557820644101973,0.049308762832106175,26.57893624393974,1.5,1.0,27.835232824902103,7.328678229105669,0.0002531428604158323,16.99976758105804,False
4,30.001272015192225,24.0,0.0,0.01955971452910253,11.363695454130697,-27.29051239622362,27.509591045826426,0.027787722217169974,6.304003969412421,-15.180397685911544,15.4727519710899,129.13395695666313,3.974123820387359e-05,5.167008923928059e-05,0.0716375646837983,0.0024444030327876306,0.00024048351520659778,0.00245620408512556,0.049032855187971854,26.57893624393974,1.5,1.0,27.835255455004972,7.3286722708796885,0.00025314264919205996,16.999753032497537,False
5,30.00198746471866,24.0,0.0,0.019597428758108652,11.363704659488551,-27.291818670588896,27.510507973905533,0.027779504625308746,6.303998728266855,-15.17998740176471,15.47298270144009,129.13416764729573,3.974117166686735e-05,5.1387748952739346e-05,0.07163756335769988,0.002444954103219985,0.0002391694438436182,0.0024566242263970098,0.0487557040506869,26.57893624393974,1.5,1.0,27.835278003434613,7.328666334166894,0.0002531424387293953,16.999738536258707,False
6,30.002861845323675,24.0,0.0,0.019635131940282862,11.363713831330873,-27.293109915110932,27.511409757354045,0.02777127131561446,6.303993506155169,-15.179568540526075,15.473204705664674,129.13437757878694,3.974110536915703e-05,5.1103663719340456e-05,0.07163756203664831,0.002445503189935073,0.00023784725112918948,0.0024570423616316283,0.04847704195346704,26.57893624393974,1.5,1.0,27.835300469768303,7.328660419078479,0.0002531422290310523,16.99972409251529,False
7,30.003895122387593,24.0,0.0,0.019672824054499834,11.363722969451503,-27.294386128674176,27.51229639526136,0.027763022247883972,6.303988303176444,-15.179141099703203,15.473417984240013,129.13458674644602,3.9741039311989764e-05,5.0817549761375155e-05,0.0716375607206492,0.0024460502816392713,0.00023651561630188092,0.002457458365275436,0.04819660164436972,26.57893624393974,1.5,1.0,27.835322853501054,7.328654525747293,0.0002531420201010097,16.999709701493497,False
8,30.00508725499934,24.0,0.0,0.019710505079581064,11.363732073610718,-27.29564731008938,27.51316788664454,0.027754757381688578,6.303983119448807,-15.179654264117465,15.473622537509094,129.13479514481944,3.9740973496852814e-05,5.0529123376917396e-05,0.07163755940970824,0.0024465953650472565,0.00023517321895297221,0.0024578721128617376,0.0479141160939353,26.57893624393974,1.5,1.0,27.83534515404567,7.328648654327833,0.0002531418119440109,16.999695363472057,False
9,30.006438195957863,24.0,0.0,0.019748174994285946,11.363741143535231,-27.296893458096605,27.514024230448143,0.027746476676375965,6.303977955109427,-15.181162682586715,15.473818365681517,129.13500276769102,3.974090792547359e-05,5.02381009517495e-05,0.07163755810383125,0.002447138424881799,0.00023381873908195325,0.002458283481065365,0.04762931850261927,26.57893624393974,1.5,1.0,27.83536737073273,7.32864280499624,0.00025314160456556403,16.999681078782164,False
