Vrf_mean_GV,depth,ramp_turns,Vrf_mean_kV,min_time_sigma_ns,turn_of_min,eps_growth,valid
5e-05,0.1,2000,50.0,9.057748004744042,7315,-8.328336009755516,True
5e-05,0.1,2500,50.0,9.117023362581856,7320,-8.00280606169998,True
5e-05,0.1,3000,50.0,9.171788116098758,7321,-7.704991637511338,True
5e-05,0.1,3500,50.0,9.222600316503245,7325,-7.431124060358416,True
5e-05,0.1,4000,50.0,9.278246721407914,7331,-7.13383514623333,True
5e-05,1.4250000000000003,2000,50.0,3.4761498866073097,7081,-454.7937437067355,True
5e-05,1.4250000000000003,2500,50.0,3.133840625611302,7072,-414.6714039802491,True
5e-05,1.4250000000000003,3000,50.0,2.7487118595760838,7056,-352.6573968586931,True
5e-05,1.4250000000000003,3500,50.0,2.581289264128166,7047,-301.6027273149743,True
5e-05,1.4250000000000003,4000,50.0,2.5525581935538333,7042,-259.39618446869383,True
5e-05,2.7500000000000004,2000,50.0,3.184655765707467,3586,-131.20298553967092,True
5e-05,2.7500000000000004,2500,50.0,3.2654564160544894,3585,-124.64081402618623,True
5e-05,2.7500000000000004,3000,50.0,3.3693352325779755,3586,-116.9125455994843,True
5e-05,2.7500000000000004,3500,50.0,3.531635099673673,3604,-106.20112706530327,True
5e-05,2.7500000000000004,4000,50.0,3.8135630144880976,3636,-90.74256584521879,True
5e-05,4.075,2000,50.0,2.6992380011945967,3460,-183.30030570442722,True
5e-05,4.075,2500,50.0,2.7511921579181204,3458,-176.26615518241402,True
5e-05,4.075,3000,50.0,2.8097994560354604,3461,-168.83781818312576,True
5e-05,4.075,3500,50.0,2.909509344255839,3482,-157.29469732221006,True
5e-05,4.075,4000,50.0,3.085714050225514,3517,-139.63795959743805,True
5e-05,5.4,2000,50.0,2.4072919092654113,3374,-230.90301733145074,True
5e-05,5.4,2500,50.0,2.4488938570444407,3372,-222.87818152944092,True
5e-05,5.4,3000,50.0,2.488896447772098,3374,-215.5932413469249,True
5e-05,5.4,3500,50.0,2.565477810504291,3397,-202.73471833667193,True
5e-05,5.4,4000,50.0,2.7044442153148096,3432,-182.2305790088809,True
0.0001,0.1,2000,100.0,6.58738660868312,9702,-16.002297202561355,True
0.0001,0.1,2500,100.0,6.640001676335138,9703,-15.554760172489775,True
0.0001,0.1,3000,100.0,6.698392641027462,9704,-15.066593970895738,True
0.0001,0.1,3500,100.0,6.75539468708595,9704,-14.59831522096618,True
0.0001,0.1,4000,100.0,6.813920188635445,9705,-14.125636763477058,True
0.0001,0.625,2000,100.0,2.4735645387887746,7359,-172.5950499502299,True
0.0001,0.625,2500,100.0,2.550651619222557,7356,-156.07944222841627,True
0.0001,0.625,3000,100.0,2.650218129931206,7354,-140.66453865931447,True
0.0001,0.625,3500,100.0,2.7608654621610587,7353,-127.30402185940541,True
0.0001,0.625,4000,100.0,2.6599261030569274,9664,-293.123895905164,True
0.0001,1.1500000000000001,2000,100.0,2.12437359914355,5011,-237.1232610067819,True
0.0001,1.1500000000000001,2500,100.0,2.2557732085112536,5007,-196.53692753163054,True
0.0001,1.1500000000000001,3000,100.0,2.4289870395608486,5007,-164.13509496822658,True
0.0001,1.1500000000000001,3500,100.0,2.6215321852864717,5007,-138.67321885668355,True
0.0001,1.1500000000000001,4000,100.0,2.828327648147019,5006,-118.06190990345202,True
0.0001,1.6750000000000003,2000,100.0,2.228318734707489,4950,-537.5142446782785,True
0.0001,1.6750000000000003,2500,100.0,1.9203516438939783,4941,-421.7071262021777,True
0.0001,1.6750000000000003,3000,100.0,1.8765293622871526,4937,-331.774724879573,True
0.0001,1.6750000000000003,3500,100.0,1.9665484331906873,4936,-267.87565658907545,True
0.0001,1.6750000000000003,4000,100.0,2.107216343567494,4935,-221.7860595257973,True
0.0001,2.2,2000,100.0,3.0119973010037886,4895,-870.2109668461808,True
0.0001,2.2,2500,100.0,2.460000024574479,4889,-748.7888854891039,True
0.0001,2.2,3000,100.0,1.8922378338450128,4880,-566.2784931467803,True
0.0001,2.2,3500,100.0,1.73332115402499,4877,-441.9607314538293,True
0.0001,2.2,4000,100.0,1.7573880662047674,4875,-356.69788061314836,True
0.00015,0.1,2000,150.0,5.543748342566543,9776,-20.184728219590458,True
0.00015,0.1,2500,150.0,5.60327508659965,9776,-19.533477050516847,True
0.00015,0.1,3000,150.0,5.661610815597264,9777,-18.910088317966117,True
0.00015,0.1,3500,150.0,5.72217991842316,9777,-18.277732128686974,True
0.00015,0.1,4000,150.0,5.781957310342311,9777,-17.667828382782716,True
0.00015,0.3583333333333334,2000,150.0,2.3653141419444608,9759,-162.09180090924897,True
0.00015,0.3583333333333334,2500,150.0,2.402748366693722,9757,-150.51553810354568,True
0.00015,0.3583333333333334,3000,150.0,2.451423880508842,9755,-140.0887244825746,True
0.00015,0.3583333333333334,3500,150.0,2.5133104553231957,9752,-129.9520700460175,True
0.00015,0.3583333333333334,4000,150.0,2.5834683535885903,9750,-120.67618701763456,True
0.00015,0.6166666666666668,2000,150.0,2.292526280003666,6002,-153.25592289694166,True
0.00015,0.6166666666666668,2500,150.0,2.371184904908164,7889,-341.5026974521391,True
