run_id,dwell_turns,phase_jump_deg,jump_turns,jump_out_start_turn,t_ufp_pre_jump_ns,t_ufp_post_jump_ns,min_time_sigma_ns,turn_of_min,eps_growth,valid
run_1785939943489,100,180,5,200,-224.5086087,0,5.919496393,1273,77.36966103,FALSE
run_1785939948672,200,180,5,200,-224.5086087,0,4.634890735,1374,170.3646168,FALSE
run_1785939953256,300,180,5,200,-224.5086087,0,3.632689268,1476,304.8253778,FALSE
run_1785939957111,400,180,5,200,-224.5086087,0,2.86211375,1581,512.6361485,FALSE
run_1785939960863,500,180,5,200,-224.5086087,0,2.333501432,1689,841.6248529,FALSE
run_1785939964167,600,180,5,200,-224.5086087,0,2.293798557,1803,1363.128134,FALSE
run_1785939967607,700,180,5,200,-224.5086087,0,3.53718035,1926,2175.053025,FALSE
run_1785939972208,800,180,5,200,-224.5086087,0,7.540808233,2069,3363.180269,FALSE
run_1785939975297,900,180,5,200,-224.5086087,0,7.652808502,0,0,TRUE
run_1785939983856,1000,180,5,200,-224.5086087,0,7.652808502,0,0,TRUE
