turn,Vrf_kV,dE_avg_GeV,dE_sigma_GeV,dE_min_GeV,dE_max_GeV,time_avg_ns,time_sigma_ns,time_min_ns,time_max_ns
0,160.0,-5.437828606961922e-05,0.007530933662527129,-0.014869868565334012,0.014991043288375526,0.24639220397020561,37.63182059115476,-74.597339918551,74.57564966298563
1,160.0,-5.491490396122516e-05,0.007531977817223092,-0.014886106185357219,0.014988139512964026,0.2463186571685469,37.63173278726559,-74.59611843463804,74.57426684246846
2,160.0,-5.5451373872929647e-05,0.007533784054232228,-0.014902619810658768,0.014985190036195199,0.24624437964251097,37.63154328263187,-74.5947085926158,74.57269570251927
3,160.0,-5.598769430850059e-05,0.007536351808920072,-0.01491908823883292,0.014982194867304038,0.24616937169811204,37.6312520777394,-74.59311039429863,74.57093624589638
4,160.0,-5.652386377201046e-05,0.007539680279563842,-0.01493551141860827,0.014979154015668461,0.24609363364338047,37.630859173329384,-74.59132384179014,74.56898847564659
5,160.0,-5.705988076783828e-05,0.0075437684285647585,-0.014951889298849911,0.014976067490809266,0.24601716578839178,37.630364570398406,-74.58934893748193,74.56685239510804
6,160.0,-5.759574380067083e-05,0.007548614984012901,-0.014973813379157853,0.014974090536824617,0.24593996844525245,37.629768270198475,-74.58718568405612,74.56452800790518
7,160.0,-5.813145137550493e-05,0.007554218441599107,-0.015001098684213676,0.014987971276004063,0.2458620419280955,37.62907027423699,-74.58483408448282,74.56201531795344
8,160.0,-5.866700199764886e-05,0.007560577066867189,-0.015028338918782953,0.015001806478460394,0.2457833865530934,37.628270584276784,-74.58229414202188,74.55931432945707
9,160.0,-5.920239417272421e-05,0.007567688897798609,-0.015055533998798998,0.015015596101024367,0.24570400263843925,37.6273692023361,-74.57956586022064,74.55642504690869
10,240.00000000000003,-6.0005242523639625e-05,0.0075797719392373215,-0.015096258761084091,0.015043176709215433,0.24562389050435648,37.6263661306886,-74.57664924291785,74.55334747509156
11,240.10053093845622,-6.080818379161388e-05,0.007593558297082791,-0.01513693250897128,0.015085962872060729,0.24554268656473538,37.62520912987762,-74.57345012842288,74.54998747711014
12,240.2010617181603,-6.1611214403413e-05,0.007609040689624412,-0.015177554998580296,0.01512869898447425,0.24546039093094615,37.623898138500074,-74.56996840498746,74.54634494318432
13,240.30159218036053,-6.241433078055598e-05,0.00762621073641183,-0.01521812598597943,0.015171384793324699,0.24537700371949314,37.62243309571985,-74.56620396152073,74.54241976419465
14,240.40212216630553,-6.321752933932215e-05,0.007645058987841084,-0.01525864522718725,0.015214020045408984,0.2452925250520266,37.62081394126876,-74.56215668758819,74.53821183168239
15,240.50265151724474,-6.402080649075885e-05,0.007665574957788905,-0.015299112478174292,0.015278089286865588,0.24520695505534382,37.61904061544764,-74.55782647341692,74.53372103785162
16,240.60318007442862,-6.482415864068886e-05,0.007687747159052385,-0.015339527494864783,0.015344198900882037,0.2451202938613894,37.61711305912738,-74.55321320989555,74.52894727556915
17,240.7037076791088,-6.5627582189718e-05,0.007711563141336232,-0.015392851405786777,0.015410268444923825,0.2450325416072741,37.61503121374995,-74.54831678857417,74.52389043836845
18,240.8042341725385,-6.64310735332431e-05,0.007737009531518148,-0.015451270666329188,0.015476297564834228,0.24494369843526576,37.612795021329504,-74.54313710167,74.5185504204479
19,240.90475939597266,-6.723462906145957e-05,0.007764072075914339,-0.015515739378374312,0.015542285906152442,0.24485376449278579,37.61040442445338,-74.53767404206258,74.512927116675
20,241.00528319066825,-6.803824515936955e-05,0.007792735684261943,-0.015590236945918098,0.015608233114115414,0.24476273993244105,37.6078593662832,-74.53192750330231,74.50702042258737
21,241.10580539788444,-6.884191820678968e-05,0.007822984475133049,-0.015664697459103264,0.015674138833659697,0.24467062491199176,37.60515979055593,-74.52589737960665,74.50083023439336
22,241.20632585888302,-6.964564457835926e-05,0.007854801822495915,-0.015739120528478933,0.0157400027094233,0.24457741959438895,37.602305641584955,-74.51958356586303,74.4943564489731
23,241.30684441492832,-7.044942064354863e-05,0.007888170403142795,-0.015814735766458636,0.01580582438574757,0.24448312414774856,37.59929686426111,-74.51298595763186,74.48759896388256
24,241.407360907288,-7.125324276666691e-05,0.007923072244710172,-0.015891997361314306,0.01587160350667904,0.24438773874537342,37.59613340405385,-74.50610445114694,74.48055767735244
25,241.50787517723268,-7.205710730687089e-05,0.007959488774026047,-0.015969221829012253,0.015937339715971353,0.24429126356575392,37.59281520701224,-74.49893894331674,74.47323248829153
26,241.60838706603664,-7.286101061817305e-05,0.007997400865529922,-0.01604640876713451,0.01600303265708712,0.24419369879257746,37.589342219766074,-74.49148933172697,74.46562329628696
27,241.7088964149779,-7.36649490494502e-05,0.00803678888952389,-0.016123557772852046,0.016094066087607405,0.24409504461471057,37.585714389526984,-74.4837555146413,74.45773000160662
28,241.80940306533842,-7.446891894445224e-05,0.008077632760027665,-0.016211655755656737,0.016194623446618914,0.24399530122622917,37.58193166408953,-74.47573739100363,74.44955250519965
29,241.90990685840453,-7.527291664181057e-05,0.008119911982026065,-0.016306015309841257,0.01629515468598737,0.24389446882640842,37.577993991832265,-74.46743486043928,74.44109070870016
30,242.010407635467,-7.607693847504694e-05,0.00816360569791409,-0.01640549246254344,0.016395659316542976,0.2437925476197171,37.57390132171889,-74.45884782325547,74.43234451442746
31,242.11090523782144,-7.688098077258254e-05,0.008208692732962078,-0.016509455512896152,0.01649613684845324,0.24368953781584943,37.56965360329933,-74.44997618044547,74.42331382538654
32,242.21139950676834,-7.768503985774647e-05,0.008255151639641281,-0.016614802336334028,0.016596586791224336,0.2435854396296954,37.56525078671082,-74.44081983368991,74.41399854527234
33,242.31189028361365,-7.848911204878534e-05,0.008302960740668056,-0.01672012377776939,0.016697442375971736,0.24348025328137374,37.56069282267909,-74.43137868535513,74.4043985784696
34,242.41237740966858,-7.929319365887191e-05,0.008352098170642938,-0.016825419329558326,0.01680942171383874,0.24337397899621174,37.555979662519405,-74.42165263849947,74.39451383005516
35,242.51286072625027,-8.009728099611459e-05,0.008402541916178398,-0.016930688483346442,0.016921378548922745,0.24326661700476407,37.551111258137766,-74.41164159687159,74.38434420579873
36,242.61334007468193,-8.090137036356666e-05,0.008454269854426412,-0.017035930730070127,0.01703331235139461,0.2431581675428023,37.546087562031985,-74.40134546491439,74.37388961216666
37,242.7138152962929,-8.170545805923567e-05,0.00850725978993353,-0.017141145559957837,0.017145222590640167,0.24304863085134065,37.54090852729282,-74.39076414776562,74.36314995632168
38,242.81428623241905,-8.250954037609303e-05,0.008561489489767088,-0.017246332462531388,0.017257108735261244,0.24293800717661848,37.53557410760514,-74.3798975512581,74.35212514612513
39,242.91475272440314,-8.331361360208331e-05,0.008616936716871176,-0.01735149092660727,0.0173689702530767,0.24282629677011128,37.53008425724906,-74.36874558192514,74.34081509013905
40,243.01521461359476,-8.411767402013427e-05,0.008673579261625135,-0.017456620440297978,0.01748080661112348,0.2427134998885304,37.52443893110104,-74.3573081469984,74.32921969762882
41,243.115671741351,-8.492171790816635e-05,0.00873139497159047,-0.017561720491013337,0.017592617275657686,0.2425996167938324,37.51863808463507,-74.3455851544139,74.31733887856203
42,243.2161239490363,-8.572574153910276e-05,0.008790361779444061,-0.01766679056546188,0.017704401712155655,0.2424846477532268,37.51268167392386,-74.3335765128098,74.30517254361271
43,243.31657107802286,-8.652974118087915e-05,0.008850457729106653,-0.017793987139916735,0.017816159385315077,0.24236859303915936,37.50656965563992,-74.32128213152984,74.29272060416386
44,243.41701296969097,-8.733371309645383e-05,0.008911661000085426,-0.017927386665776986,0.017927889759056098,0.2422514529293383,37.500301987056794,-74.30870192062551,74.2799829723057
45,243.5174494654292,-8.81376535438182e-05,0.008973949930058376,-0.018060771638547517,0.018039592296522466,0.24213322770671447,37.49387862605014,-74.29583579085809,74.26695956084134
46,243.6178804066346,-8.894155877600623e-05,0.009037303035735984,-0.018194141464072274,0.018151266460082683,0.24201391765951458,37.487299531099,-74.28268365369988,74.25365028328653
47,243.71830563471306,-8.974542504110563e-05,0.00910169903204248,-0.018327495547171075,0.01826291171133117,0.24189352308122533,37.48056466128688,-74.2692454213352,74.240055053872
48,243.81872499107936,-9.054924858226766e-05,0.009167116849664791,-0.018460833291639542,0.018382620115985047,0.24177204427058335,37.473673976303004,-74.25610381176742,74.2261737875451
49,243.91913831715763,-9.135302563771812e-05,0.009233535651022164,-0.018594154100249095,0.018518417540902752,0.24164948153161075,37.46662743644346,-74.24457696477037,74.21200639997178
50,244.01954545438159,-9.215675244076749e-05,0.009300934844713478,-0.01872745737474693,0.018654199306584726,0.24152583517358697,37.45942500261237,-74.23276376314945,74.19755280753893
51,244.1199462441946,-9.296042521982217e-05,0.009369294098502394,-0.018860742515856035,0.0187899648085305,0.24140110551107133,37.45206663632311,-74.22066411609637,74.18281292735631
52,244.22034052805017,-9.376404019839482e-05,0.009438593350903062,-0.018994008923275213,0.01892571344118426,0.24127529286390695,37.4445522996995,-74.20827793351563,74.1677866772562
53,244.3207281474119,-9.456759359511561e-05,0.009508812821430694,-0.019127255995679146,0.019061444597934723,0.24114839755720896,37.436881955477,-74.19560512602871,74.15247397579893
54,244.42110894375418,-9.537108162374303e-05,0.009579933019582586,-0.019260483130718445,0.019197157671115003,0.241020419921383,37.42905556700391,-74.18264560497332,74.13687474227285
55,244.521482758562,-9.617450049317517e-05,0.009651934752615608,-0.019393689725019748,0.019332852052002518,0.24089136029211455,37.421073098242566,-74.16939928240711,74.12098889669645
56,244.62184943333133,-9.697784640746074e-05,0.009724799132186306,-0.019526875174185825,0.0194685271308189,0.2407612190103874,37.41293451377058,-74.15586607110853,74.10481635982003
57,244.72220880956957,-9.77811155658106e-05,0.00979850757991932,-0.019660038872795698,0.01960418229672993,0.24062999642246996,37.40463977878203,-74.14204588457986,74.08835705312796
58,244.82256072879548,-9.85843041626089e-05,0.009873041831969036,-0.019801374165486805,0.0197398169378455,0.2404976928799214,37.3961888590887,-74.1279386370484,74.07161089884093
59,244.9229050325398,-9.938740838742493e-05,0.009948383942638243,-0.019942892923903825,0.01989015701477846,0.2403643087396183,37.3875817211213,-74.11354424346743,74.05457781991836
60,245.0232415623451,-0.00010019042442502433,0.01002451628711616,-0.02008439364816951,0.020041092594419153,0.24022984436371844,37.378818331930674,-74.0988626195203,74.03725774005866
61,245.12357015976627,-0.00010099334845538115,0.010101421563396506,-0.020225875711332747,0.02019201620286781,0.24009430011968816,37.36989865918907,-74.08389368162054,74.01965058370396
62,245.2238906663709,-0.00010179617665368955,0.010179082793434418,-0.020367338485315894,0.020342927196598005,0.23995767638031412,37.360822671191336,-74.06863734691436,74.00175627603883
63,245.32420292373908,-0.00010259890519037553,0.010257483323599001,-0.020508781340914387,0.020493824930838414,0.23981997352366785,37.35159033685619,-74.05309353328272,73.98357474299573
64,245.42450677346406,-0.00010340153023110924,0.010336606824476072,-0.020650203647796374,0.02064470875957159,0.23968119193315957,37.342201625727476,-74.03726215934401,73.9651059112546
65,245.52480205715247,-0.00010420404793681701,0.0104164372900735,-0.020791604774502363,0.02079927018333158,0.23954133199750335,37.33265650797538,-74.02114314445433,73.94634970824634
66,245.62508861642434,-0.00010500645446369343,0.010496959036479115,-0.02093298408844489,0.020957623201398008,0.23940039411072703,37.32295495439769,-74.00473640871135,73.92730606215358
67,245.72536629291344,-0.0001058087459632138,0.010578156700018845,-0.021074340955908207,0.021115965816216522,0.23925837867217692,37.31309693642109,-73.98804187295434,73.90797490191537
68,245.8256349282677,-0.00010661091858214662,0.010660015234960374,-0.021215674742048017,0.021274297367787798,0.23911528608652924,37.30308242610239,-73.9710594587684,73.88835615722664
69,245.92589436414917,-0.00010741296846256596,0.01074251991080517,-0.021356984810891187,0.021432617194766666,0.2389711167637885,37.2929113961298,-73.9537890884848,73.86844975854049
70,246.02614444223465,-0.00010821489174186425,0.010825656309209408,-0.02149827052533552,0.021590924634460253,0.23882587111927883,37.282583819824225,-73.93623068518409,73.84825563707196
71,246.12638500421548,-0.00010901668455276492,0.010909410320572008,-0.021639531247149537,0.021749219022826137,0.23867954957366336,37.27209967114048,-73.91838417269767,73.82777372480004
72,246.2266158917981,-0.0001098183430233354,0.010993768140325625,-0.021780766336972273,0.021907499694470527,0.2385321525529316,37.261458924668666,-73.90024947560954,73.80700395446777
73,246.32683694670436,-0.00011061986327699982,0.011078716264964346,-0.021921975154313107,0.022065765982646465,0.2383836804884063,37.25066155563534,-73.88182651925968,73.7859462595865
74,246.42704801067157,-0.00011142124143255232,0.011164241487839512,-0.02206315705755162,0.022224017219252056,0.23823413381675695,37.239707539904934,-73.86311522974529,73.76460057443782
75,246.5272489254526,-0.00011222247360417022,0.01125033089475316,-0.022204311403937454,0.022382252734828707,0.23808351297999034,37.22859685398091,-73.84411553392172,73.74296683407513
76,246.6274395328167,-0.00011302355590142701,0.01133697185937642,-0.022345437549590213,0.02254047185855941,0.2379318184254542,37.217329475007176,-73.82482735940661,73.7210449743267
77,246.72761967454912,-0.00011382448442930602,0.011424152038518372,-0.022503404920292756,0.022698673918267038,0.23777905060585036,37.20590538076932,-73.8052506345816,73.69883493179688
78,246.82778919245175,-0.00011462525528821408,0.011511859367268933,-0.02266497544035452,0.02285685824041265,0.23762520997921346,37.194324549695956,-73.78538528859323,73.67633664386952
79,246.92794792834331,-0.00011542586457399441,0.011600082054037633,-0.022826530884130367,0.023015024150093842,0.23747029700894096,37.182586960859986,-73.76523125135802,73.65372185915143
